03_43_0B_00 (7569489): GenesysGenSoundDistanceFalloff

10_87_0F_00 (16872982): GenesysGenCompoundAdditionalInfo

10_EC_18_00 (23278230): GenesysGenWcvfxBehaviour

13_C9_07_00 (5308967): GenesysGenDynamicAdditionalInfo

16_C9_07_00 (5308976): GenesysGenDynamicAdditionalInfo

16_F8_0E_00 (9965588): GenesysGenWcvfxBehaviour

19_6D_0A_00 (6828681): GenesysGenLightPoint

1B_4B_09_00 (6328401): GenesysGenWcvfxBehaviour

1D_4B_09_00 (6328403): GenesysGenWcvfxBehaviour

1F_4B_09_00 (6328405): GenesysGenWcvfxBehaviour

1F_E0_14_00 (20349077): GenesysGenMixerChannel

20_4B_09_00 (6328406): GenesysGenWcvfxBehaviour

23_FC_06_00 (4552547): GenesysGenDynamicAdditionalInfo

24_67_18_00 (22647400): GenesysGenCorona

26_67_18_00 (22647408): GenesysGenWcvfxBehaviour

26_9E_0F_00_1 (16921894): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

31_9E_0F_00_1 (16921911): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

5D_A9_07_00 (5251337): GenesysGenWcvfxBehaviour

60_D0_0D_00_1 (9458450): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

61_65_0A_00 (6820627): GenesysGenWcvfxBehaviour

63_D0_0D_00 (9458453): GenesysGenMakePhysicalBehaviour

64_D0_0D_00 (9458454): GenesysGenDynamicAdditionalInfo

66_7E_12_00 (18948102): GenesysGenDynamicAdditionalInfo

69_7E_12_00 (18948105): GenesysGenDynamicAdditionalInfo

6E_67_0F_00 (16815384): GenesysGenWcplaySoundBehaviour

6F_D0_0D_00_1 (9458471): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

71_0A_09_00 (5842071): GenesysGenCorona

71_D0_0D_00 (9458473): GenesysGenEnableCompoundBehaviour

74_0B_1B_00 (24585220): GenesysGenWcplaySoundBehaviour

75_0B_1B_00 (24585221): GenesysGenWcplaySoundBehaviour

7E_09_09_00_1 (5841492): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

7F_09_09_00_1 (5841493): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

81_09_09_00_1 (5841495): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

82_09_09_00_1 (5841496): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

89_09_09_00_1 (5841509): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

8A_09_09_00_1 (5841510): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

8B_09_09_00_1 (5841511): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

8C_68_0F_00 (16816132): GenesysGenWcplaySoundBehaviour

8F_09_09_00_1 (5841521): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

93_9D_06_00 (4404565): GenesysGenCorona

97_09_09_00_1 (5841529): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

97_EC_13_00 (19945297): GenesysGenEnableCompoundBehaviour

98_EC_13_00_1 (19945298): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

9A_68_0F_00 (16816152): GenesysGenWcplaySoundBehaviour

9B_EC_13_00 (19945301): GenesysGenMakePhysicalBehaviour

9C_EC_13_00 (19945302): GenesysGenDynamicAdditionalInfo

